NUM;RET;REC;EBITDA;EBIT;LAIR;LAOD;LL;FCO
6031;0.0089;190612;11404;5120;5967;3748;1339;27741
6032;0.0124;770271;97281;88444;113072;76315;76356;59420
6033;0.0505;5322006;277760;100486;-129330;-87442;-90965;103563
6034;0.0237;569078;92810;66605;61505;39008;38757;82798
6035;0.1320;233950;23540;18390;15193;15028;11228;-10507
6036;0.1686;163853;57937;40732;33781;22557;22557;61487
6037;0.0588;48095;4775;3534;-180;-206;-186;1713
6038;-0.2072;305811;80457;70514;121894;94700;90908;-242159
6039;-0.0086;988385;225060;220472;226394;203444;189798;-100506
6040;0.9346;82668;72;-3295;-8400;-9673;-9678;2274
6041;-0.0323;202250;51540;50052;54238;34903;34842;18611
6042;0.0141;2356228;799369;544826;584041;373647;373678;553959
6043;-0.1444;25350;-26051;-26236;-11425;-10949;-11043;7029
6044;0.0382;1109888;7755;-13861;-26344;-23545;-23546;201299
6045;-0.0345;1740817;303277;291982;260575;245710;241499;147983
6046;0.0339;542697;20210;15520;2080;-7932;-7932;2816
6047;-0.1787;61468746;16301100;12213526;15108876;11411105;10942937;14248426
6048;-0.2429;7840;-94946;-97451;-47907;-53168;-53168;-48734
6049;-0.0323;79828;-864;-4270;-5554;-3687;-3523;4671
6050;-0.0528;266566;28829;19846;2038;1259;1252;17013
6051;-0.0444;13980;-2080;-4172;-6989;-6812;-6812;1149
6052;-0.0385;548262;-81948;-88916;-88251;-87911;-87911;58366
6053;0.0119;656476;20688;19147;10352;9482;9482;50043
6054;-0.2381;566707;45148;34294;37650;27657;27657;15223
6055;0.0987;1098063;167241;146018;159659;122459;89191;49671
6056;-0.1702;2694;-2148;-2367;-5057;-5057;-5054;-295
6057;0.0482;1909930;441560;313835;134539;67874;31324;41179
6058;-0.0181;8927;3007;1199;-1468;-1983;-1983;-2422
6059;0.1321;142338;4820;2897;-9357;-8183;-8182;179747
6060;-0.0743;675693;53642;46751;47944;27715;27715;-266048
6061;-0.0185;2339783;823677;647446;692997;479647;479647;803180
6062;0.1560;94179;8637;4901;-8315;-10330;-10845;11158
6063;0.1625;94050;8044;5574;2478;1879;1879;-2167
6064;-0.0660;328948;147109;60840;51700;37964;37964;93874
6065;-0.2746;327199;-21785;-30261;-42396;-29021;-29020;-61069
6066;-0.0695;182157;29225;22710;21545;15261;15261;-648
6067;-0.2264;4323192;2381837;2135931;1486267;1137162;1138484;1083590
6068;-0.2195;210104;73826;52818;64337;42007;42007;-39557
6069;-0.1707;448034;-9705;-35816;-78366;-148369;-149113;-86939
6070;0.4230;162365;141820;141447;102530;72746;72746;183978
6071;-0.1485;153858;24807;17053;6316;-200;-211;-28
6072;0.1343;413276;68238;63753;87086;73298;66975;-1139
6073;0.0307;365593;43289;37521;31257;20204;19604;1600
6074;0.0345;61685;-10207;-12174;-45331;-46913;-46918;-9538
6075;0.1304;8231298;3062697;1733417;1700012;1149370;1143964;2270832
6076;-0.2000;199692;-8668;-16433;580;2858;2859;-6246
6077;0.1206;4251758;1138224;529372;485398;349981;349981;1634314
6078;-0.0972;315196;73130;51706;45470;36132;36151;68853
6079;0.0454;690735;306434;297587;243838;200505;200505;8414
6080;-0.0489;192938;-16084;-17981;-26270;-33188;-33664;-3713
6081;0.0239;141483;53538;14121;-8882;-4005;-333;50285
6082;0.2063;537008;77440;57895;63762;41125;41125;33186
6083;-0.0952;0;8176;8092;11136;11239;11239;55227
6084;-0.4511;3025659;450595;235435;281050;156599;111632;145528
6085;-0.0403;25063251;14799292;13246164;14171075;10180051;10275359;10267800
6086;0.1561;211993;43794;37090;14871;10783;30511;36060
6087;-0.1250;5041067;212520;171796;2104;-5478;-7421;-1202278
6088;-0.1907;227733;23195;19099;15584;10303;10303;-59457
6089;-0.2057;1277258;210409;164669;206783;158792;154557;167444
6090;-0.1282;59397;3259;1037;-1651;-1563;-1463;3465
6091;-0.0027;1777595;-510903;-549745;-553722;-353377;-354004;122759
6092;0.1462;284612;51760;30823;34433;21361;21371;23459
6093;0.0074;261185;13770;12914;15256;9557;9518;13540
6094;-0.2278;289885;21695;12361;10283;7919;7919;1614
6095;-0.4648;6929;5051;5051;5997;5389;5389;2630
6096;0.0639;586701;101032;88383;96951;88503;87251;34782
6097;-0.0833;6562098;3098053;2753395;2707906;2106040;2088674;1235566
6098;-0.1525;821165;182267;137397;89565;59063;59063;19591
6099;-0.2800;624548;47985;17021;18038;10460;10270;-10091
6100;-0.3889;1028708;95361;76020;-2685;-1606;-1606;-205996
6101;0.0814;179702;20947;15547;10499;9504;7640;-9150
6102;0.1471;7395;6572;6466;15332;10100;9869;6790
6103;0.0177;195167;35965;31247;27938;24688;25343;5457
6104;-0.0121;1334327;892322;799494;762161;618554;623784;603398
6105;-0.0280;16315;16282;12138;11271;9444;9444;-45388
6106;0.0587;7388088;924530;505872;448915;304979;308226;153250
6107;0.1132;6020494;745243;524994;472730;386745;383468;62237
6108;0.0105;1179278;587902;483472;277728;178498;175242;444811
6109;-0.2549;175057;55213;39897;32233;34112;34112;16139
6110;0.2015;1056858;201057;159983;173466;116179;116179;-13948
6111;0.1436;3386587;1292259;1059462;776643;526151;526151;473835
6112;0.1318;726289;418601;222974;112380;60991;60991;410033
6113;0.1000;277666;74306;67491;71413;51019;51019;45804
6114;0.0487;1159024;297779;244618;200911;177781;177781;243784
6115;0.1592;634443;172805;139790;127135;104517;104517;73342
6116;0.1032;925345;192516;134836;103159;68243;68243;40506
6117;0.0097;778911;292084;212974;192486;128629;128629;265626
6118;0.0664;1826230;601775;467777;578137;384829;379481;195770
6119;-0.0870;4609338;808118;735045;721828;486839;480918;1764818
6120;-0.1489;547423;52871;24488;15842;10530;4671;-42119
6121;0.1119;3022784;1042327;854156;723050;465875;459780;718754
6122;-0.1119;39652;-1705;-3345;-6539;-7688;-7120;-21243
6123;0.0000;72919;7498;-2957;-2076;-2780;-2057;5402
6124;-0.3852;93452;14401;9126;7364;4415;4415;9356
6125;-0.4115;1200742;139158;128749;131959;90075;74181;-57621
6126;-0.0714;510141;132073;104744;68648;44639;44583;5807
6127;0.0200;306799;16297;14638;12135;8081;8081;2475
6128;-0.1723;234043;40261;38943;45620;40994;39680;-58031
6129;-0.0027;66323;8312;6524;6688;4595;4590;8908
6130;-0.2791;2744;666;249;-103;-103;-103;234
6131;-0.0265;659865;220421;123177;94091;76876;76761;165162
6132;0.0362;422398;234763;193671;145706;92712;91582;202641
6133;-0.3212;907569;274061;235027;219591;143310;143310;177123
6134;0.0988;8551982;2568740;2143615;1867545;1288848;1284566;1189117
6135;-0.0881;39414;5866;-1331;12080;4390;4390;-15350
6136;0.1348;1756604;259851;156628;172226;176448;174376;70998
6137;0.0249;1384827;458001;359439;315114;212014;187742;233886
6138;-0.0410;575918;120999;86908;49552;38185;38185;-157444
6139;0.3407;40538;-45311;-47275;-62750;-52593;-57700;31388
6140;0.0054;1022129;692492;573861;465449;306954;306954;300825
6141;0.0881;401851;82256;82256;74860;52726;52726;46499
6142;-0.2750;9102;-5005;-5684;-10284;-10284;-10284;31004
6143;-0.0160;186281;26410;21057;23533;16847;16847;10397
6144;0.1964;203855;53647;30073;26642;24324;24324;24191
6145;-0.0214;429894;67613;66491;77158;61243;60340;-8100
6146;-0.3550;14931;1012;922;450;300;300;1322
6147;-0.0021;184243;68533;68129;87366;81603;81309;93720
6148;0.0730;783608;44422;32875;11930;8323;8323;-60333
6149;-0.0467;195695;43670;34640;45031;36125;36030;49771
6150;-0.0990;230491;50567;41278;48491;27401;27401;30900
6151;-0.1667;800356;65975;53610;22612;20765;13706;-192198
6152;-0.1163;8363791;1102133;654569;483226;409439;390803;913161
6153;-0.0920;8363791;1098932;651347;441544;376884;152388;914716
6154;-0.1493;1895722;225427;135270;109464;69396;69396;107992
6155;-0.2656;146688;13567;6295;-7088;-6518;-5007;-13974
6156;-0.0681;53331;5353;3649;7455;4653;4653;-6353
6157;0.0292;316703;43604;36454;71875;63483;63535;107617
6158;0.0160;1145846;264058;239293;229097;150517;150517;102738
6159;0.0605;564227;98109;72135;67703;58991;58991;-10770
6160;-0.0803;224603;44903;41096;52262;43435;41423;-71734
6161;0.0217;597;350;350;-10509;-10244;-10244;0
6162;-0.4507;32337;6541;3549;-2025;-2055;-2055;708
6163;-0.0431;845247;168698;149880;69016;32872;32938;31221
6164;-0.0914;287824;14201;12655;7539;5404;7553;-6300
6165;-0.2594;138742;9573;2582;5311;7897;7685;-9258
6166;-0.0412;279487;23202;18051;4816;681;681;-48426
6167;-0.0341;666981;100675;88373;83017;56189;56189;37451
6168;0.0357;115605;26052;12960;5023;4035;3971;8244
6169;-0.2235;14672740;834451;523290;172160;89925;146968;7533
6170;0.1566;195708;63123;57092;53055;47408;47119;12571
6171;0.0134;93068;13122;12994;9087;2512;3222;93623
6172;-0.1000;138124;7595;4668;632;-2062;-2718;-2424
6173;-0.1274;498604;84825;51369;22268;15313;15306;23154
